,Total_Reward
1289,80.8067
1290,-1217.9777
1291,-53.851788
1292,-54.079765
1293,-58.415977
1294,-53.994934
1295,41.349113
1296,-54.12852
1297,-319.61026
1298,85.55497
1299,74.58316
1300,-59.72398
1301,-54.05948
1302,71.39976
1303,73.35482
1304,-53.8484
1305,-53.6948
1306,77.91887
1307,-303.019
1308,-197.36865
1309,-53.724995
1310,-62.602856
1311,-53.749405
1312,-53.703957
1313,-53.88016
1314,-54.395218
1315,81.22609
1316,75.12902
1317,-304.56714
1318,-53.922684
1319,75.07823
1320,-57.820156
1321,-62.084335
1322,-197.32452
1323,61.043995
1324,-57.820404
1325,-53.847
1326,-54.09385
1327,-233.03381
1328,82.48405
1329,-237.2525
1330,35.12551
1331,-59.67734
1332,-197.38028
1333,74.374176
1334,33.446186
1335,-53.977016
1336,76.84016
1337,83.17883
1338,71.72956
1339,85.39072
1340,-53.743023
1341,-53.711864
1342,-76.963104
1343,-91.71041
1344,78.288445
1345,71.02489
1346,-197.40268
1347,-53.650387
1348,-53.747944
1349,-62.251564
1350,-53.747993
1351,-53.577347
1352,-53.87456
1353,75.74073
1354,75.69348
1355,-323.7637
1356,-53.933582
1357,87.1044
1358,-232.58002
1359,71.31827
1360,82.39481
1361,87.04624
1362,-459.66193
1363,-53.748367
1364,-53.671333
1365,-128.22879
1366,-197.47815
1367,-328.32373
1368,63.08833
1369,-53.669434
1370,-218.92108
1371,66.38666
1372,-197.46597
1373,-53.725113
1374,-53.738663
1375,-53.8238
1376,75.9659
1377,-54.042572
1378,-57.41712
1379,-197.57272
1380,-54.26863
1381,-70.927124
1382,85.86276
1383,-54.115578
1384,-53.854996
1385,77.82659
1386,82.45727
1387,-341.72424
1388,57.715782
1389,-219.27145
1390,-53.954685
1391,-136.94617
1392,-197.2609
1393,-57204.758
1394,77.747925
1395,70.657265
1396,-197.4962
1397,-53.669884
1398,-72.08561
1399,80.95651
1400,-53.935883
1401,-54.22423
1402,-53.802246
1403,76.426094
1404,78.969406
1405,69.48494
1406,82.596855
1407,87.088745
1408,-53.668575
1409,-53.739067
1410,-53.905888
1411,-53.955208
1412,85.75377
1413,-53.804005
1414,-53.799404
1415,-405.21854
1416,-197.58417
1417,-54.15646
1418,-53.697346
1419,-84.87855
1420,74.71521
1421,-53.66874
1422,-53.81472
1423,-54.02238
1424,-53.896103
1425,-248.073
1426,61.612694
1427,-53.802887
1428,-62.293015
1429,-61.267044
1430,75.07907
1431,-53.75585
1432,-53.757965
1433,-53.859222
1434,-53.886883
1435,67.58522
1436,73.26198
1437,-53.93233
1438,85.687195
1439,-53.667534
1440,-53.899933
1441,-53.913643
1442,-197.43715
1443,79.57681
1444,-53.963158
1445,84.0065
1446,-53.84671
1447,-53.825737
1448,-53.926327
1449,-54.073612
1450,87.93529
1451,-291.17203
1452,85.29516
1453,88.66455
1454,-53.837585
1455,86.13989
1456,81.78489
1457,-53.885086
1458,-53.806
1459,-54.08652
1460,-61.041317
1461,-54.075245
1462,-1059.123
1463,-228.12267
1464,-53.667217
1465,-53.862194
1466,-53.901535
1467,-53.730667
1468,64.07017
1469,-53.648018
1470,-53.881557
1471,-53.91396
1472,79.19991
1473,-197.50851
1474,73.26537
1475,79.118164
1476,-254.71652
1477,-53.969025
1478,-54.219406
1479,88.35663
1480,82.142555
1481,80.74606
1482,-56.90937
1483,-53.676605
1484,-267.14743
1485,-54.374798
1486,60.148273
1487,-78.66693
1488,85.69503
1489,-353.00708
1490,-197.48358
1491,81.62524
1492,-71.86981
1493,-54.11348
1494,88.41286
1495,-53.857735
1496,86.52178
1497,70.78485
1498,-54.395035
1499,-53.7268
1500,-53.93299
1501,-197.41838
1502,81.35341
1503,-1519.2255
1504,13.172798
1505,-53.798233
1506,68.03112
1507,-53.66944
1508,-67.71002
1509,66.2905
1510,-79.801476
1511,-54.201576
1512,-47907.086
1513,-53.955933
1514,-63.507645
1515,-53.76421
1516,-54.0207
1517,-197.49173
1518,-273.46558
1519,-53.84221
1520,-57.15537
1521,76.54986
1522,-61.600212
1523,-300.19193
1524,-472.0842
1525,-56.623726
1526,-53.80567
1527,77.523636
1528,-54.12384
1529,66.96621
1530,81.33977
1531,81.48926
1532,-67.591995
1533,-197.19618
1534,-60.048412
1535,-196.54712
1536,-268.96542
1537,83.004944
1538,71.36386
1539,88.29808
1540,-53.731644
1541,-356.07208
1542,-54.175533
1543,-67.29663
1544,-53.77597
1545,82.603096
1546,-251.5438
1547,79.44789
1548,82.18977
1549,71.06307
1550,-53.787598
1551,82.749794
1552,-53.788868
1553,-53.919235
1554,37.859516
1555,-756.22174
1556,-56.8655
1557,-53.86722
1558,-197.4553
1559,-53.917366
1560,-53.746338
1561,-54.013252
1562,-54.012455
1563,-197.25665
1564,-53.828445
1565,72.364746
1566,-53.86065
1567,-416.93353
1568,54.51873
1569,-54.01016
1570,89.65033
1571,-53.786423
1572,76.272194
1573,-54.03335
1574,-53.852005
1575,-53.79077
1576,83.46684
1577,70.85389
1578,-197.03821
1579,-53.859737
1580,-65.266
1581,71.10194
1582,-54.08786
1583,74.536064
1584,-64.49458
1585,-197.20349
1586,-53.87544
1587,84.6125
1588,-270.70645
1589,-53.96576
1590,86.23756
1591,81.111626
1592,86.17286
1593,-53.733715
1594,-63.75603
1595,79.039604
1596,-53.75855
1597,87.37997
1598,-137.10313
1599,84.20546
1600,-1131.6627
1601,-53.923767
1602,83.21698
1603,-54.214592
1604,-54.223373
1605,74.57707
1606,84.80628
1607,-69.88213
1608,-54.005775
1609,-252.97203
1610,-54.107903
1611,-61.855778
1612,83.03822
1613,-57.655186
1614,75.552376
1615,85.54301
1616,-53.768417
1617,-265.12866
1618,-53.964714
1619,83.76724
1620,87.77117
1621,-53.650177
1622,81.96245
1623,71.80956
1624,-53.905724
1625,-53.930992
1626,-53.914146
1627,-57.692566
1628,76.7309
1629,-53.915134
1630,-53.806763
1631,-90.53796
1632,-54.24792
1633,-54.190197
1634,80.24546
1635,85.24381
1636,-53.857063
1637,-457.42166
1638,-229.2852
1639,80.93362
1640,-53.80808
1641,44.324093
1642,-53.96776
1643,-53.89703
1644,-54.009026
1645,-53.715965
1646,-287.1714
1647,-70.42368
1648,-311.0374
1649,82.9601
1650,-54.12886
1651,-53.802418
1652,74.845215
1653,-68.09979
1654,-59.619793
1655,65.68417
1656,-197.23367
1657,-389.69135
1658,78.26992
1659,-54.08374
1660,87.5683
1661,-253.92506
1662,-54.091534
1663,-57.18619
1664,84.72849
1665,-53.635094
1666,81.67076
1667,-53.59488
1668,78.72847
1669,78.38971
1670,-46533.707
1671,-53.713963
1672,-61.492126
1673,-58.10406
1674,-232.3515
1675,-58.051117
1676,79.545876
1677,-53.97298
1678,-53.987957
1679,-53.841576
1680,-54.158463
1681,21.877754
1682,-53.989265
1683,41.153675
1684,-56.98255
1685,82.786575
1686,-53.816833
1687,-53.78545
1688,-197.34045
1689,-197.38734
1690,-53.814915
1691,-56.462418
1692,70.87033
1693,-196.73697
1694,86.17988
1695,73.23426
1696,-53.67857
1697,72.6499
1698,70.84526
1699,67.78495
1700,-53.872707
1701,-54.325706
1702,53.724487
1703,-53.90979
1704,84.11966
1705,-53.619747
1706,-54.132816
1707,-68.01824
1708,29.112602
1709,-197.15924
1710,85.285355
1711,-54.236305
1712,-53.988842
